URL inclusions report
"May 1, 2026 - May 31, 2026"
Dynamic ad target status,Dynamic ad target,Currency code,Status,Conversions,Cost / conv.,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Total: URL inclusions in your ad group,,GBP,,0.00,0.00,0,0, --,0,0.00,0.00%
Total: AI Max landing page matches,,GBP,,0.00,0.00,0,0, --,0,0.00,0.00%
Total: Keywords in your ad group,,GBP,,5.00,48.58,196,"5,054",3.88%,1.24,242.92,2.55%
Total: Your keywords,,GBP,,5.00,48.58,196,"5,054",3.88%,1.24,242.92,2.55%
Total: AI Max expanded matches,,GBP,,0.00,0.00,0,0, --,0,0.00,0.00%
Total: Ad group,,GBP,,5.00,48.58,196,"5,054",3.88%,1.24,242.92,2.55%
