Gender,Age Range,Impressions,Percent of known total
Male,18-24,79,2.37%
Male,25-34,363,10.91%
Male,35-44,262,7.87%
Male,45-54,200,6.01%
Male,55-64,203,6.10%
Male,65+,207,6.22%
Female,18-24,137,4.12%
Female,25-34,434,13.04%
Female,35-44,357,10.73%
Female,45-54,322,9.68%
Female,55-64,374,11.24%
Female,65+,389,11.69%
