Start Hour,Impressions
12 AM,16
1 AM,17
2 AM,12
3 AM,1
4 AM,4
5 AM,3
6 AM,33
7 AM,73
8 AM,159
9 AM,390
10 AM,521
11 AM,546
12 PM,500
1 PM,520
2 PM,472
3 PM,533
4 PM,425
5 PM,197
6 PM,183
7 PM,128
8 PM,128
9 PM,90
10 PM,63
11 PM,40
