Day,Start Hour,Impressions
Sunday,12 AM,2
Sunday,1 AM,1
Sunday,2 AM,0
Sunday,3 AM,0
Sunday,4 AM,2
Sunday,5 AM,1
Sunday,6 AM,2
Sunday,7 AM,4
Sunday,8 AM,8
Sunday,9 AM,17
Sunday,10 AM,34
Sunday,11 AM,27
Sunday,12 PM,37
Sunday,1 PM,25
Sunday,2 PM,21
Sunday,3 PM,38
Sunday,4 PM,22
Sunday,5 PM,17
Sunday,6 PM,15
Sunday,7 PM,16
Sunday,8 PM,15
Sunday,9 PM,6
Sunday,10 PM,12
Sunday,11 PM,8
Monday,12 AM,4
Monday,1 AM,0
Monday,2 AM,2
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,1
Monday,6 AM,5
Monday,7 AM,12
Monday,8 AM,31
Monday,9 AM,49
Monday,10 AM,60
Monday,11 AM,89
Monday,12 PM,66
Monday,1 PM,68
Monday,2 PM,94
Monday,3 PM,63
Monday,4 PM,77
Monday,5 PM,31
Monday,6 PM,27
Monday,7 PM,19
Monday,8 PM,21
Monday,9 PM,16
Monday,10 PM,8
Monday,11 PM,2
Tuesday,12 AM,1
Tuesday,1 AM,4
Tuesday,2 AM,0
Tuesday,3 AM,1
Tuesday,4 AM,1
Tuesday,5 AM,0
Tuesday,6 AM,2
Tuesday,7 AM,10
Tuesday,8 AM,22
Tuesday,9 AM,72
Tuesday,10 AM,97
Tuesday,11 AM,121
Tuesday,12 PM,81
Tuesday,1 PM,84
Tuesday,2 PM,70
Tuesday,3 PM,109
Tuesday,4 PM,71
Tuesday,5 PM,38
Tuesday,6 PM,31
Tuesday,7 PM,17
Tuesday,8 PM,17
Tuesday,9 PM,10
Tuesday,10 PM,5
Tuesday,11 PM,4
Wednesday,12 AM,3
Wednesday,1 AM,1
Wednesday,2 AM,2
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,0
Wednesday,6 AM,4
Wednesday,7 AM,9
Wednesday,8 AM,27
Wednesday,9 AM,65
Wednesday,10 AM,104
Wednesday,11 AM,64
Wednesday,12 PM,106
Wednesday,1 PM,83
Wednesday,2 PM,100
Wednesday,3 PM,87
Wednesday,4 PM,76
Wednesday,5 PM,28
Wednesday,6 PM,29
Wednesday,7 PM,25
Wednesday,8 PM,12
Wednesday,9 PM,20
Wednesday,10 PM,6
Wednesday,11 PM,4
Thursday,12 AM,0
Thursday,1 AM,3
Thursday,2 AM,3
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,8
Thursday,7 AM,11
Thursday,8 AM,25
Thursday,9 AM,56
Thursday,10 AM,60
Thursday,11 AM,86
Thursday,12 PM,79
Thursday,1 PM,111
Thursday,2 PM,58
Thursday,3 PM,103
Thursday,4 PM,66
Thursday,5 PM,29
Thursday,6 PM,26
Thursday,7 PM,15
Thursday,8 PM,30
Thursday,9 PM,10
Thursday,10 PM,12
Thursday,11 PM,5
Friday,12 AM,0
Friday,1 AM,5
Friday,2 AM,1
Friday,3 AM,0
Friday,4 AM,0
Friday,5 AM,0
Friday,6 AM,9
Friday,7 AM,16
Friday,8 AM,24
Friday,9 AM,96
Friday,10 AM,124
Friday,11 AM,107
Friday,12 PM,94
Friday,1 PM,103
Friday,2 PM,102
Friday,3 PM,90
Friday,4 PM,90
Friday,5 PM,40
Friday,6 PM,28
Friday,7 PM,24
Friday,8 PM,16
Friday,9 PM,14
Friday,10 PM,12
Friday,11 PM,10
Saturday,12 AM,6
Saturday,1 AM,3
Saturday,2 AM,4
Saturday,3 AM,0
Saturday,4 AM,1
Saturday,5 AM,1
Saturday,6 AM,3
Saturday,7 AM,11
Saturday,8 AM,22
Saturday,9 AM,35
Saturday,10 AM,42
Saturday,11 AM,52
Saturday,12 PM,37
Saturday,1 PM,46
Saturday,2 PM,27
Saturday,3 PM,43
Saturday,4 PM,23
Saturday,5 PM,14
Saturday,6 PM,27
Saturday,7 PM,12
Saturday,8 PM,17
Saturday,9 PM,14
Saturday,10 PM,8
Saturday,11 PM,7
