Gender,Age Range,Impressions,Percent of known total
Male,18-24,25,3.52%
Male,25-34,52,7.32%
Male,35-44,58,8.17%
Male,45-54,36,5.07%
Male,55-64,44,6.20%
Male,65+,38,5.35%
Female,18-24,28,3.94%
Female,25-34,117,16.48%
Female,35-44,74,10.42%
Female,45-54,80,11.27%
Female,55-64,92,12.96%
Female,65+,66,9.30%
