Start Hour,Impressions
12 AM,5
1 AM,3
2 AM,5
3 AM,0
4 AM,1
5 AM,3
6 AM,5
7 AM,9
8 AM,27
9 AM,88
10 AM,122
11 AM,117
12 PM,108
1 PM,97
2 PM,148
3 PM,113
4 PM,130
5 PM,58
6 PM,28
7 PM,41
8 PM,22
9 PM,25
10 PM,17
11 PM,6
